Output Distance,Counts,Actual Distance
200,400,200
200,400,200
200.5,401,200
199.5,399,200
199,398,200
200,400,200
199,398,200
200,400,200
199,398,200
199,398,200
199.5,399,200
200,400,200
200,400,200
199.5,399,200
199.5,399,200
201,402,200
200,400,200
200,400,200
200,400,200
199.5,399,200
198.5,397,200
200,400,200
200,400,200
200,400,200
200,400,200
199.5,399,200
99.5,199,100
100,200,100
100,200,100
100,200,100
100,200,100
100,200,100
100,200,100
100,200,100
100,200,100
99.5,199,100
100,200,100
99.5,199,100
100,200,100
100,200,100
99.5,199,100
100,200,100
100,200,100
100,200,100
100,200,100
100,200,100
100.5,201,100
100,200,100
100,200,100
99.5,199,100
99.5,199,100
50,100,50
50.5,101,50
50,100,50
50.5,101,50
50.5,101,50
50,100,50
51,102,50
50.5,101,50
50,100,50
50,100,50
49,98,50
50,100,50
50,100,50
50,100,50
50.5,101,50
50.5,101,50
50.5,101,50
50.5,101,50
50.5,101,50
50.5,101,50
50,100,50
50.5,101,50
50.5,101,50
50,100,50
50.5,101,50
50,100,50
50,100,50
50,100,50
50,100,50
50.5,101,50
50.5,101,50
24,48,24
23.5,47,24
24,48,24
23.5,47,24
23.5,47,24
23.5,47,24
23.5,47,24
24,48,24
24,48,24
23.5,47,24
23.5,47,24
24,48,24
23.5,47,24
23.5,47,24
23.5,47,24
23.5,47,24
24,48,24
23.5,47,24
23.5,47,24
24,48,24
23.5,47,24
24,48,24
24,48,24
23.5,47,24
23.5,47,24
24,48,24
23.5,47,24
23.5,47,24
24,48,24
23.5,47,24
12,24,12
13,26,12
12.5,25,12
13,26,12
12.5,25,12
13,26,12
13,26,12
13,26,12
15.5,31,12
14.5,29,12
14,28,12
12.5,25,12
12.5,25,12
13,26,12
12.5,25,12
13.5,27,12
13,26,12
13,26,12
13,26,12
13,26,12
13.5,27,12
14,28,12
14,28,12
13.5,27,12
13.5,27,12
13.5,27,12
14,28,12
13.5,27,12
14,28,12
13.5,27,12
14,28,12
12.5,25,12
14,28,12
13,26,12